Proximity,City,Year,Last,First
Inland,Titusville,1973,139,289
Inland,Jamestown,1950,169,289
Inland,Franklin,1969,121,288
Inland,Akron,1969,121,288
Inland,Warsaw,2006,128,288
Inland,Franklin,1980,131,288
Inland,Jamestown,2016,138,288
Inland,Warren (OH),1983,138,288
Inland,Warren (OH),2016,139,288
Inland,Jamestown,1997,143,288
Inland,Warren (OH),1997,143,288
Inland,Franklin,2002,145,288
Inland,Warren (PA),1969,147,288
Inland,Warsaw,1969,147,288
Coastal,Sandusky,1979,100,287
Inland,Franklin,1991,103,287
Coastal,Sandusky,1980,109,287
Coastal,Cleveland,1988,111,287
Coastal,Buffalo,1977,119,287
Coastal,Sandusky,1977,119,287
Inland,Warren (PA),1991,124,287
Inland,Franklin,1977,128,287
Coastal,Erie Airport,1977,128,287
Inland,Franklin,1987,129,287
Coastal,North East,1977,130,287
Inland,Warren (OH),2010,131,287
Inland,Titusville,2007,134,287
Inland,Jamestown,1977,135,287
Inland,Franklin,2009,139,287
Inland,Jamestown,2009,140,287
Inland,Akron,2002,141,287
Inland,Warren (PA),2006,143,287
Inland,Warren (OH),1977,158,287
Inland,Warren (PA),1977,159,287
Coastal,Cleveland,1987,99,286
Inland,Akron,1988,111,286
Coastal,Buffalo,1981,112,286
Inland,Akron,2006,116,286
Inland,Franklin,1988,118,286
Coastal,Buffalo,2012,120,286
Inland,Warren (PA),1988,125,286
Coastal,North East,1951,126,286
Inland,Titusville,2010,131,286
Inland,Warren (PA),1996,136,286
Inland,Jamestown,1996,136,286
Inland,Franklin,1996,136,286
Inland,Warren (OH),1996,136,286
Inland,Warren (PA),1967,143,286
Inland,Jamestown,2006,143,286
Inland,Franklin,1967,143,286
Inland,Franklin,2006,143,286
Inland,Warren (OH),1967,143,286
Inland,Titusville,2006,144,286
Inland,Warren (OH),2006,144,286
Inland,Akron,1987,99,285
Coastal,Sandusky,1964,101,285
Coastal,Erie Airport,1964,102,285
Inland,Franklin,1964,103,285
Coastal,Buffalo,2009,103,285
Coastal,Cleveland,2014,106,285
Coastal,Cleveland,1956,114,285
Coastal,Buffalo,2006,116,285
Inland,Akron,2012,120,285
Inland,Warsaw,2014,125,285
Inland,Warren (OH),2014,125,285
Inland,Jamestown,2014,126,285
Inland,Warren (PA),1994,134,285
Coastal,Erie Airport,1957,137,285
Inland,Titusville,2016,138,285
Inland,Warsaw,2009,138,285
Coastal,Buffalo,1956,138,285
Inland,Warren (PA),2009,139,285
Inland,Jamestown,1971,143,285
Coastal,North East,1976,145,285
Coastal,North East,1956,146,285
Coastal,Erie Airport,1956,146,285
Inland,Akron,2009,106,284
Coastal,Buffalo,1980,108,284
Coastal,Buffalo,1994,112,284
Coastal,North East,1993,117,284
Coastal,Erie Airport,1993,117,284
Coastal,Cleveland,1993,117,284
Coastal,Painesville,1993,117,284
Inland,Warren (PA),1993,118,284
Coastal,Buffalo,1972,118,284
Inland,Franklin,1993,119,284
Inland,Warren (PA),2000,120,284
Coastal,Buffalo,1986,123,284
Inland,Warsaw,1977,130,284
Inland,Warren (PA),1972,133,284
Coastal,North East,1972,133,284
Inland,Jamestown,1979,137,284
Inland,Warren (OH),1979,137,284
Inland,Titusville,2009,139,284
Inland,Warren (OH),2009,140,284
Inland,Jamestown,1993,141,284
Inland,Jamestown,1956,146,284
Inland,Franklin,1956,146,284
Inland,Warren (OH),1956,146,284
Inland,Warren (PA),1956,147,284
Inland,Jamestown,1972,163,284
Coastal,Erie Airport,1972,163,284
Coastal,Cleveland,1972,163,284
Inland,Warren (PA),1980,164,284
Coastal,Painesville,1989,114,283
Coastal,Buffalo,1993,117,283
Inland,Akron,2000,118,283
Inland,Franklin,2012,121,283
Inland,Warsaw,2012,121,283
Inland,Warren (PA),2012,122,283
Inland,Akron,1986,123,283
Inland,Warren (OH),1986,124,283
Inland,Warren (PA),1986,125,283
Inland,Franklin,1986,125,283
Coastal,Buffalo,1979,125,283
Inland,Titusville,2012,132,283
Inland,Franklin,1972,132,283
Coastal,Buffalo,1983,137,283
Inland,Titusville,2014,140,283
Inland,Titusville,1986,154,283
Inland,Warren (OH),1972,163,283
Inland,Akron,1951,113,282
Inland,Akron,1989,114,282
Coastal,Cleveland,1989,114,282
Inland,Franklin,2000,120,282
Inland,Warren (OH),2012,121,282
Coastal,Cleveland,1952,124,282
Inland,Warren (OH),1987,126,282
Inland,Jamestown,1987,128,282
Inland,Warsaw,1989,129,282
Inland,Jamestown,1981,140,282
Inland,Warren (PA),1981,141,282
Inland,Titusville,1988,147,282
Inland,Warren (OH),1969,147,282
Coastal,Cleveland,1964,102,281
Inland,Akron,1953,111,281
Coastal,Cleveland,1953,111,281
Inland,Franklin,1953,112,281
Inland,Jamestown,1953,114,281
Inland,Warren (OH),1953,114,281
Coastal,Erie Airport,1953,114,281
Coastal,North East,2001,115,281
Inland,Warren (PA),1964,116,281
Coastal,North East,1964,116,281
Inland,Warren (PA),1953,119,281
Inland,Akron,2001,119,281
Coastal,North East,1953,119,281
Coastal,Erie Airport,2001,119,281
Coastal,Buffalo,2001,119,281
Coastal,Cleveland,2001,119,281
Inland,Warren (PA),2001,120,281
Inland,Jamestown,2001,120,281
Inland,Franklin,2001,120,281
Inland,Warsaw,2008,123,281
Inland,Warren (PA),2008,127,281
Inland,Warren (OH),2001,134,281
Inland,Warsaw,1971,135,281
Inland,Warsaw,2002,141,281
Inland,Titusville,2002,142,281
Inland,Jamestown,2002,142,281
Inland,Warren (OH),2002,143,281
Inland,Titusville,2001,151,281
Coastal,Buffalo,1954,99,280
Inland,Akron,1964,102,280
Inland,Franklin,1954,103,280
Coastal,Buffalo,1992,106,280
Coastal,Buffalo,1964,107,280
Inland,Warren (OH),2008,108,280
Inland,Akron,1980,108,280
Inland,Akron,1999,115,280
Coastal,Buffalo,1999,115,280
Inland,Warren (OH),1964,116,280
Inland,Warren (PA),1999,117,280
Inland,Warsaw,1999,118,280
Coastal,North East,2006,118,280
Inland,Warsaw,2001,119,280
Inland,Franklin,1999,121,280
Inland,Jamestown,2011,125,280
Inland,Warren (OH),1954,125,280
Inland,Akron,1954,125,280
Inland,Warren (OH),2004,126,280
Inland,Titusville,2004,127,280
Inland,Warren (PA),1968,128,280
Inland,Jamestown,1968,128,280
Inland,Franklin,1968,129,280
Inland,Franklin,1966,132,280
Inland,Titusville,1954,141,280
Inland,Warren (PA),1954,142,280
Coastal,North East,1967,143,280
Inland,Warren (PA),1992,146,280
Inland,Jamestown,1992,146,280
Inland,Warsaw,1954,147,280
Inland,Warren (OH),1992,150,280
Inland,Jamestown,1964,151,280
Inland,Titusville,1968,173,280
Coastal,Buffalo,1984,101,279
Coastal,Cleveland,1980,108,279
Inland,Warren (OH),1965,119,279
Inland,Akron,1958,120,279
Coastal,Erie Airport,1958,120,279
Inland,Warren (PA),1960,123,279
Inland,Warsaw,2004,126,279
Inland,Warren (OH),1973,126,279
Inland,Warren (OH),1968,128,279
Coastal,North East,1958,130,279
Coastal,Buffalo,1958,130,279
Inland,Titusville,1980,137,279
Inland,Jamestown,1980,137,279
Inland,Warren (OH),1980,137,279
Inland,Titusville,1996,151,279
Inland,Jamestown,2008,107,278
Inland,Franklin,1948,113,278
Coastal,North East,1948,113,278
Coastal,Buffalo,1965,115,278
Inland,Akron,1965,118,278
Inland,Jamestown,1965,119,278
Inland,Warren (PA),1952,124,278
Inland,Jamestown,1952,124,278
Inland,Akron,1952,124,278
Inland,Franklin,1952,125,278
Inland,Warsaw,1970,127,278
Inland,Jamestown,1989,128,278
Inland,Warren (PA),1987,129,278
Inland,Warren (PA),1948,130,278
Inland,Warren (PA),1965,134,278
Inland,Warsaw,1996,135,278
Inland,Warren (OH),1970,138,278
Inland,Warren (OH),1963,144,278
Inland,Warren (OH),1948,146,278
Inland,Jamestown,1988,147,278
Inland,Warren (OH),1988,147,278
Inland,Titusville,2008,150,278
Inland,Akron,1981,116,277
Coastal,North East,1974,128,277
Inland,Titusville,1987,133,277
Inland,Jamestown,1994,134,277
Inland,Warsaw,1987,134,277
Inland,Titusville,1984,138,277
Inland,Warren (OH),1994,148,277
Inland,Warren (PA),1961,150,277
Inland,Akron,1975,111,276
Coastal,Buffalo,2003,114,276
Inland,Warren (PA),2003,117,276
Inland,Jamestown,2003,117,276
Inland,Akron,1993,117,276
Inland,Titusville,2003,118,276
Inland,Warren (PA),1975,118,276
Inland,Franklin,1975,118,276
Inland,Warren (OH),2003,118,276
Inland,Akron,1974,127,276
Coastal,Cleveland,1974,127,276
Inland,Warren (OH),1975,128,276
Coastal,Erie Airport,1974,128,276
Coastal,Buffalo,1974,128,276
Inland,Warren (OH),1985,129,276
Inland,Warsaw,1985,130,276
Inland,Warsaw,1960,133,276
Inland,Warren (OH),1984,138,276
Inland,Titusville,1985,140,276
Inland,Warsaw,1994,147,276
Inland,Titusville,1994,148,276
Inland,Warren (PA),1966,152,276
Inland,Akron,2003,114,275
Coastal,Cleveland,1975,117,275
Inland,Titusville,1960,123,275
Inland,Jamestown,1960,123,275
Inland,Warren (OH),1960,123,275
Inland,Warsaw,2003,124,275
Inland,Warren (OH),1958,128,275
Inland,Titusville,2017,130,275
Inland,Warren (PA),1958,130,275
Inland,Franklin,1958,130,275
Inland,Warsaw,1997,138,275
Inland,Jamestown,1958,144,275
Inland,Warsaw,1958,146,275
Inland,Titusville,1958,147,275
Inland,Warsaw,1984,123,274
Coastal,Painesville,1974,126,274
Inland,Warren (OH),2017,130,274
Inland,Titusville,1993,150,274
